Fecha,PIB en Dólares Corrientes (Millones de USD),Tasa de Crecimiento Anual del PIB (%),PIB per cápita en Dólares Corrientes (USD),PIB per cápita en Lempiras a Precios Constantes
2000-01-01,7186638029,0.0729,1092.6,16214.33
2001-01-01,7651162302,0.0272,1132.2,16211.71
2002-01-01,7858255413,0.0375,1132.5,16381.92
2003-01-01,8230391347,0.0455,1156.1,16692.93
2004-01-01,8869299234,0.0623,1215.1,17296.49
2005-01-01,9757012697,0.0605,1304.7,17903.1
2006-01-01,10917477066,0.0657,1425.8,18634.12
2007-01-01,12361257681,0.0619,1577.7,19337.79
2008-01-01,13881731876,0.0423,1732.5,19708.85
2009-01-01,14587496229,-0.0243,1781.2,18813.28
2010-01-01,15839344592,0.0373,1893.3,19104.73
2011-01-01,17710275685,0.0384,2073.7,19431.73
2012-01-01,18528554398,0.0413,2126.0,19828.88
2013-01-01,18499729215,0.0279,2081.1,19982.98
2014-01-01,19756533972,0.0306,2179.9,20199.06
2015-01-01,20979791685,0.0384,2271.2,20579.21
2016-01-01,21717604952,0.0389,2307.3,20982.66
2017-01-01,23136247991,0.0484,2413.0,21595.58
2018-01-01,24067750760,0.0384,2464.6,22019.28
2019-01-01,24882225742,0.0256,2502.3,22177.68
2020-01-01,23352232484,-0.0897,2307.6,19838.28
2021-01-01,28144331507,0.1257,2735.1,21961.57
2022-01-01,31426041807,0.0414,3003.3,22491.25
2023-01-01,34400509852,0.0358,3231.7,22899.45
2024-01-01,37093565854,0.036,3426.4,23317.14
